BallenasCompressorSk440-Cyl2-2018-09-26 15:30:25,BallenasCompressorSk440-Cyl2-2018-09-26 15:35:44,BallenasCompressorSk440-Cyl2-2018-09-26 15:43:59,BallenasCompressorSk440-Cyl2-2018-09-26 16:14:27,BallenasCompressorSk440-Cyl2-2018-09-26 16:17:45,BallenasCompressorSk440-Cyl2-2018-09-26 16:21:06,BallenasCompressorSk440-Cyl2-2018-09-26 16:26:12
29372.2062,42903.28094,57673.88962,28359.72457,33793.68652,31742.16543,21806.60594
152.7604051,152.6767543,152.80061,152.6876481,152.6653586,152.7807952,153.0555818
202.58,204.58,209.04,204.14,208.5,205.58,200.34
94.22,78.7,82.92,94.66,85.52,87.84,83.66
152.767167,152.6803894,152.8027609,152.6951134,152.6728084,152.7884644,153.068552
-117.9827931,-118.7183862,-118.4460966,-120.7392093,-117.8980196,-118.2326402,-120.2893384
0.066567226,0.073301967,0.064264192,0.074000617,0.059482387,0.068453875,0.063927327
0.338879014,0.357165387,0.349665105,0.362901799,0.348087362,0.343210741,0.354707189
0.296094709,0.309394928,0.287543934,0.298390941,0.305871745,0.270357075,0.31553706
0.337395873,0.341592647,0.321308002,0.337036315,0.314500729,0.31381222,0.343573051
0.331429756,0.338998025,0.331964126,0.323757763,0.328032339,0.337588092,0.352185065
0.241530149,0.253682967,0.252645417,0.244367575,0.251937327,0.25675733,0.247984307
0.217082797,0.238909556,0.225361553,0.209088233,0.231023297,0.236618199,0.19852256
0.217763117,0.228490028,0.23020756,0.209362962,0.250366209,0.228668527,0.205308465
0.214190981,0.219832084,0.226434487,0.247737486,0.235028623,0.219018453,0.220512545
0.193708717,0.21497947,0.220446484,0.246643444,0.210111713,0.221584917,0.209655203
0.196581577,0.209999723,0.218279568,0.217768044,0.215621421,0.214389993,0.214491422
0.193717186,0.203509504,0.205571578,0.220134841,0.203632158,0.197688645,0.216111586
0.200150804,0.195513607,0.198908258,0.207257347,0.212272044,0.192196479,0.1961075
0.205340998,0.20332944,0.204904297,0.212319798,0.219261376,0.210034623,0.178633855
0.215948047,0.208431478,0.20192954,0.211663971,0.209860907,0.221776651,0.202024008
0.219003703,0.200605141,0.211268023,0.196407611,0.19554435,0.219967877,0.207522101
0.213531629,0.198462447,0.205496906,0.203270521,0.207553882,0.208269224,0.2044511
0.207960723,0.20041532,0.205854163,0.20639966,0.193088872,0.192776608,0.215628388
0.193380554,0.201841888,0.20497038,0.198349049,0.196648323,0.199157303,0.183587085
0.204998923,0.20098963,0.195914477,0.207302211,0.20222444,0.204398183,0.185833086
0.202792815,0.187007028,0.203237871,0.21074417,0.200596525,0.200330793,0.186552095
0.202179428,0.190367554,0.211319704,0.20603536,0.205058078,0.217331784,0.205398097
0.214136807,0.19590391,0.210225799,0.212741637,0.218204007,0.226905169,0.213079989
0.207520377,0.201098782,0.205171453,0.209488905,0.213142883,0.22187305,0.217556714
0.207639988,0.206975781,0.199479801,0.205044954,0.209699484,0.214579492,0.205060058
0.217673975,0.210251041,0.202016365,0.196304219,0.202311387,0.196622962,0.193404967
0.206899779,0.201084175,0.204198218,0.208353933,0.201197517,0.197038483,0.211417918
0.188430917,0.207208337,0.20278717,0.197830033,0.19673228,0.195792005,0.203806862
0.184056841,0.213107594,0.20508012,0.187389145,0.199610341,0.187312188,0.203374246
0.190264796,0.209755269,0.209812183,0.212120286,0.203221586,0.184217123,0.215900522
0.194400867,0.195485781,0.204036385,0.220363996,0.197252655,0.18301202,0.20266116
0.207190361,0.190021156,0.204352371,0.205401525,0.203959953,0.198901195,0.216008848
0.216384492,0.203186607,0.197070182,0.17951612,0.195424684,0.205145087,0.191466143
0.191437033,0.207078647,0.195645981,0.192751474,0.20020922,0.203719188,0.189821088
0.171587644,0.204702228,0.208128642,0.197006253,0.209132069,0.200751422,0.183563038
0.194154582,0.206816948,0.208272208,0.204529255,0.204809756,0.187494894,0.198947291
0.207942553,0.205934439,0.207332854,0.212141707,0.213788562,0.188860751,0.229237472
0.213819028,0.194573153,0.197528734,0.203899051,0.214257096,0.186984476,0.217137119
0.197924495,0.198456715,0.203640791,0.181769143,0.210165007,0.208671085,0.182564285
0.197082754,0.208218378,0.201185229,0.194471409,0.201644799,0.205621937,0.185547663
0.204031622,0.21346044,0.192083083,0.207249515,0.209707309,0.209338886,0.19057996
0.208979223,0.205575655,0.196118037,0.218762251,0.205473952,0.203476927,0.190697099
0.217488096,0.206726349,0.209274238,0.205848525,0.211541546,0.200821187,0.197122739
0.209050193,0.203303487,0.204013548,0.208748324,0.203366,0.197624247,0.204418418
0.201356226,0.205004873,0.200936524,0.203844259,0.19592872,0.208634669,0.194754409
0.216990016,0.200307331,0.202422463,0.196776087,0.203257545,0.210013689,0.222807842
0.211582738,0.1922074,0.196229575,0.19717893,0.207223215,0.19833528,0.222464408
0.196442408,0.199330995,0.203357346,0.198487352,0.207068148,0.189742162,0.177409418
0.198932318,0.203968588,0.206302189,0.205826496,0.205128411,0.187287282,0.174358308
0.20785348,0.210126674,0.208770113,0.207701769,0.217460482,0.202218316,0.212932735
0.202672252,0.20825535,0.202943374,0.208569,0.219034237,0.199886833,0.213428661
0.203689551,0.212695399,0.203757516,0.211500347,0.217716313,0.214069712,0.206025826
0.209773049,0.200724036,0.198414281,0.206383564,0.201879011,0.200770468,0.21195575
0.208228421,0.201163023,0.206014319,0.200561305,0.195625588,0.189592205,0.214419125
0.195158581,0.211711194,0.205146483,0.197348107,0.199222958,0.203438834,0.199366794
0.204387978,0.202929448,0.208344433,0.201556058,0.184971968,0.199798379,0.191186132
0.223025064,0.204665317,0.209377865,0.199554569,0.191015061,0.193889402,0.201620196
0.205541995,0.212560927,0.203192724,0.228417472,0.209093196,0.193337152,0.199098581
