CaterpillarG3608-Cyl8-2018-09-10 00:15:12,CaterpillarG3608-Cyl8-2018-09-10 00:17:21,CaterpillarG3608-Cyl8-2018-09-10 00:20:05,CaterpillarG3608-Cyl8-2018-09-10 00:21:57,CaterpillarG3608-Cyl8-2018-09-10 00:23:40,CaterpillarG3608-Cyl8-2018-09-10 00:25:42,CaterpillarG3608-Cyl8-2018-09-10 00:27:20,CaterpillarG3608-Cyl8-2018-09-10 00:29:15,CaterpillarG3608-Cyl8-2018-09-10 00:30:49,CaterpillarG3608-Cyl8-2018-09-10 00:32:40,CaterpillarG3608-Cyl8-2018-09-10 00:34:23,CaterpillarG3608-Cyl8-2018-09-10 00:35:55,CaterpillarG3608-Cyl8-2018-09-10 00:37:38,CaterpillarG3608-Cyl8-2018-09-10 00:39:21,CaterpillarG3608-Cyl8-2018-09-10 00:40:56
18436.57039,19085.16433,20489.61248,19171.78793,18638.98076,18118.11215,18123.25127,18239.85314,19466.86625,18448.11055,19981.35969,19632.05545,23438.16215,21364.84088,20107.3269
151.5273605,151.7342315,152.413197,152.3413052,153.0813278,152.8237344,153.6388909,153.0351999,152.6417082,152.357591,152.1228866,152.0129269,151.4917045,151.3435874,152.7704036
202.44,203.92,198.12,200.58,197.26,202.72,215.34,198.3,203.28,200.54,196.38,192.34,201.48,198.02,200.48
89.4,99.34,88.3,86.76,79.96,90.92,91.1,78.42,95.62,65.8,80.38,85.4,75.86,82.74,86.56
151.5439927,151.7507087,152.4275443,152.3587108,153.0982355,152.8506811,153.6622503,153.0546279,152.66168,152.3761902,152.1455038,152.0321959,151.5058852,151.3570943,152.7906176
-118.8715991,-114.7816759,-121.6481908,-116.8292572,-118.3595249,-120.4592095,-121.5319797,-118.9156453,-117.6007729,-114.80945,-117.3298791,-115.3015294,-115.8613927,-115.7197744,-117.1580386
0.060032781,0.072036225,0.067527918,0.04963923,0.051989557,0.039054422,0.064331814,0.047162657,0.064520049,0.06139773,0.050344389,0.048205408,0.052911057,0.066255259,0.063926459
0.335516537,0.378541336,0.373014506,0.302852962,0.295421242,0.242813848,0.330430604,0.270197798,0.300966474,0.311796913,0.262928922,0.268767364,0.280537046,0.314665933,0.348557018
0.283591554,0.335326844,0.317373426,0.266691384,0.26076036,0.249900295,0.287023028,0.233016271,0.297192093,0.293772536,0.257972624,0.246043841,0.282343551,0.276452625,0.300035591
0.248320335,0.28275772,0.266759371,0.260006321,0.250762877,0.260542215,0.348473183,0.268763297,0.232751655,0.319486684,0.271266664,0.241065048,0.285911101,0.279521623,0.265747282
